x,y
0,0
23.5,0
16.6,-16.6
0,-23.5
-16.6,-16.6
-23.5,0
-16.6,16.6
0,23.5
16.6,16.6
47,0
43.4,-18
33.2,-33.2
16.6,-43.4
0,-47
-16.6,-43.4
-33.2,-33.2
-43.4,-18
-47,0
-43.4,18
-33.2,33.2
-16.6,43.4
0,47
16.6,43.4
33.2,33.2
43.4,18
70.5,0
68.1,-18.3
61.1,-35.3
50,-50
33.2,-61.1
16.6,-68.1
0,-70.5
-16.6,-68.1
-33.2,-61.1
-50,-50
-61.1,-35.3
-68.1,-18.3
-70.5,0
-68.1,18.3
-61.1,35.3
-50,50
-33.2,61.1
-16.6,68.1
0,70.5
16.6,68.1
33.2,61.1
50,50
61.1,35.3
68.1,18.3
94,0
92.2,-18.3
86.8,-36.5
78.2,-51.2
66.5,-66.5
52.2,-78.2
33.2,-86.9
16.6,-92.2
0,-94
-16.6,-92.2
-33.2,-86.9
-52.2,-78.2
-66.5,-66.5
-78.2,-51.2
-86.8,-36.5
-92.2,-18.3
-94,0
-92.2,18.3
-86.8,36.5
-78.2,51.2
-66.5,66.5
-52.2,78.2
-33.2,86.9
-16.6,92.2
0,94
16.6,92.2
33.2,86.9
52.2,78.2
66.5,66.5
78.16,51.2
86.8,36.5
92.2,18.3
